Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
11.50,-116.70415660,32.71680181,1334.00,0.00000,0.00000,0.00000
11.50,-116.70415660,32.71680181,1334.00,0.00000,0.00000,0.00000
11.50,-116.70415660,32.71680181,1334.00,0.00000,0.00000,0.00000
11.50,-116.70415660,32.71680181,1334.00,0.00000,0.00000,0.00000
11.50,-116.70415660,32.71680181,1334.00,0.00000,0.00000,0.00000
11.50,-116.69967174,32.72964766,-186.00,0.00000,0.00000,0.00000
11.50,-116.69967174,32.72964766,-186.00,0.00000,0.00000,0.00000
11.50,-116.69967174,32.72964766,-186.00,0.00000,0.00000,0.00000
11.50,-116.69967174,32.72964766,-186.00,0.00000,0.00000,0.00000
11.50,-116.69967174,32.72964766,-186.00,0.00000,0.00000,0.00000
11.50,-116.69967174,32.72964766,-186.00,0.00000,0.00000,0.00000
11.50,-116.70095312,32.70997465,1914.00,0.00000,0.00000,0.00000
11.50,-116.70095312,32.70997465,1914.00,0.00000,0.00000,0.00000
11.50,-116.70095312,32.70997465,1914.00,0.00000,0.00000,0.00000
11.50,-116.70095312,32.70997465,1914.00,0.00000,0.00000,0.00000
11.50,-116.70095312,32.70997465,1914.00,0.00000,0.00000,0.00000
11.50,-116.70095312,32.70997465,1914.00,0.00000,0.00000,0.00000
11.50,-116.69807000,32.72506627,1894.00,0.00000,0.00000,0.00000
11.50,-116.69807000,32.72506627,1894.00,0.00000,0.00000,0.00000
11.50,-116.69807000,32.72506627,1894.00,0.00000,0.00000,0.00000
11.50,-116.69807000,32.72506627,1894.00,0.00000,0.00000,0.00000
11.50,-116.69807000,32.72506627,1894.00,0.00000,0.00000,0.00000
11.50,-116.69807000,32.72506627,1894.00,0.00000,0.00000,0.00000
11.60,-116.69668183,32.73090530,994.00,0.00000,0.00000,0.00000
11.60,-116.69668183,32.73090530,994.00,0.00000,0.00000,0.00000
11.60,-116.69668183,32.73090530,994.00,0.00000,0.00000,0.00000
11.60,-116.69668183,32.73090530,994.00,0.00000,0.00000,0.00000
11.60,-116.69668183,32.73090530,994.00,0.00000,0.00000,0.00000
11.60,-116.69668183,32.73090530,994.00,0.00000,0.00000,0.00000
11.60,-116.70426338,32.71671198,1344.00,0.00000,0.00000,0.00000
11.60,-116.70426338,32.71671198,1344.00,0.00000,0.00000,0.00000
11.60,-116.70426338,32.71671198,1344.00,0.00000,0.00000,0.00000
11.60,-116.70426338,32.71671198,1344.00,0.00000,0.00000,0.00000
11.60,-116.70426338,32.71671198,1344.00,0.00000,0.00000,0.00000
11.60,-116.70426338,32.71671198,1344.00,0.00000,0.00000,0.00000
11.60,-116.69988530,32.72964766,-186.00,0.00000,0.00000,0.00000
11.60,-116.69988530,32.72964766,-186.00,0.00000,0.00000,0.00000
11.60,-116.69988530,32.72964766,-186.00,0.00000,0.00000,0.00000
11.60,-116.69988530,32.72964766,-186.00,0.00000,0.00000,0.00000
11.60,-116.69988530,32.72964766,-186.00,0.00000,0.00000,0.00000
11.60,-116.69988530,32.72964766,-186.00,0.00000,0.00000,0.00000
11.60,-116.70116669,32.70979498,1924.00,0.00000,0.00000,0.00000
11.60,-116.70116669,32.70979498,1924.00,0.00000,0.00000,0.00000
11.60,-116.70116669,32.70979498,1924.00,0.00000,0.00000,0.00000
11.60,-116.70116669,32.70979498,1924.00,0.00000,0.00000,0.00000
11.60,-116.70116669,32.70979498,1924.00,0.00000,0.00000,0.00000
11.60,-116.70116669,32.70979498,1924.00,0.00000,0.00000,0.00000
11.60,-116.69817678,32.72506627,1914.00,0.00000,0.00000,0.00000
11.60,-116.69817678,32.72506627,1914.00,0.00000,0.00000,0.00000
11.60,-116.69817678,32.72506627,1914.00,0.00000,0.00000,0.00000
11.60,-116.69817678,32.72506627,1914.00,0.00000,0.00000,0.00000
11.60,-116.69817678,32.72506627,1914.00,0.00000,0.00000,0.00000
11.60,-116.69817678,32.72506627,1914.00,0.00000,0.00000,0.00000
11.70,-116.69678861,32.73099513,1004.00,0.00000,0.00000,0.00000
11.70,-116.69678861,32.73099513,1004.00,0.00000,0.00000,0.00000
11.70,-116.69678861,32.73099513,1004.00,0.00000,0.00000,0.00000
11.70,-116.69678861,32.73099513,1004.00,0.00000,0.00000,0.00000
11.70,-116.69678861,32.73099513,1004.00,0.00000,0.00000,0.00000
11.70,-116.69678861,32.73099513,1004.00,0.00000,0.00000,0.00000
11.70,-116.70437016,32.71662215,1354.00,0.00000,0.00000,0.00000
11.70,-116.70437016,32.71662215,1354.00,0.00000,0.00000,0.00000
11.70,-116.70437016,32.71662215,1354.00,0.00000,0.00000,0.00000
11.70,-116.70437016,32.71662215,1354.00,0.00000,0.00000,0.00000
11.70,-116.70437016,32.71662215,1354.00,0.00000,0.00000,0.00000
11.70,-116.70437016,32.71662215,1354.00,0.00000,0.00000,0.00000
11.70,-116.69999208,32.72964766,-196.00,0.00000,0.00000,0.00000
11.70,-116.69999208,32.72964766,-196.00,0.00000,0.00000,0.00000
11.70,-116.69999208,32.72964766,-196.00,0.00000,0.00000,0.00000
11.70,-116.69999208,32.72964766,-196.00,0.00000,0.00000,0.00000
11.70,-116.69999208,32.72964766,-196.00,0.00000,0.00000,0.00000
11.70,-116.69999208,32.72964766,-196.00,0.00000,0.00000,0.00000
11.70,-116.70127347,32.70961532,1944.00,0.00000,0.00000,0.00000
11.70,-116.70127347,32.70961532,1944.00,0.00000,0.00000,0.00000
11.70,-116.70127347,32.70961532,1944.00,0.00000,0.00000,0.00000
